unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1613261160000,2021-02-14 00:06:00,ETH/USDT,1811.42,1813.15,1811.00,1811.03,1017.862,1844462.80420,695
1613261100000,2021-02-14 00:05:00,ETH/USDT,1812.83,1812.83,1810.00,1811.42,2423.142,4388280.12483,1529
1613261040000,2021-02-14 00:04:00,ETH/USDT,1815.37,1815.90,1810.19,1812.66,3523.067,6386925.91854,2459
1613260980000,2021-02-14 00:03:00,ETH/USDT,1817.88,1819.25,1815.10,1815.46,1412.351,2566766.34575,1368
1613260920000,2021-02-14 00:02:00,ETH/USDT,1821.56,1821.56,1817.12,1817.55,1362.743,2478604.22962,1305
1613260860000,2021-02-14 00:01:00,ETH/USDT,1819.20,1821.57,1818.80,1821.56,1090.208,1984314.03745,1019
1613260800000,2021-02-14 00:00:00,ETH/USDT,1817.86,1820.89,1817.00,1819.08,3110.943,5659427.88030,1881
1613260740000,2021-02-13 23:59:00,ETH/USDT,1816.65,1819.00,1815.01,1818.02,1179.009,2142936.38700,908
1613260680000,2021-02-13 23:58:00,ETH/USDT,1817.80,1818.05,1816.24,1816.65,267.265,485559.70443,554
1613260620000,2021-02-13 23:57:00,ETH/USDT,1817.25,1817.98,1816.10,1817.80,505.642,918775.14504,595
1613260560000,2021-02-13 23:56:00,ETH/USDT,1817.29,1817.56,1815.28,1817.26,683.740,1242080.73658,699
1613260500000,2021-02-13 23:55:00,ETH/USDT,1815.78,1818.60,1815.78,1817.29,821.287,1492582.06428,771
1613260440000,2021-02-13 23:54:00,ETH/USDT,1815.96,1817.99,1814.83,1815.78,661.027,1200540.68753,758
1613260380000,2021-02-13 23:53:00,ETH/USDT,1816.31,1816.31,1813.50,1815.98,966.615,1753977.02506,700
1613260320000,2021-02-13 23:52:00,ETH/USDT,1813.94,1816.59,1813.94,1816.27,914.817,1660060.99214,765
1613260260000,2021-02-13 23:51:00,ETH/USDT,1816.51,1816.51,1813.79,1813.94,1213.172,2201444.59618,873
1613260200000,2021-02-13 23:50:00,ETH/USDT,1816.06,1816.95,1813.37,1816.51,1851.021,3359711.54291,1465
1613260140000,2021-02-13 23:49:00,ETH/USDT,1818.86,1819.74,1815.07,1816.06,1667.563,3028860.95618,1117
1613260080000,2021-02-13 23:48:00,ETH/USDT,1819.03,1820.33,1818.09,1818.85,866.390,1575849.12846,622
1613260020000,2021-02-13 23:47:00,ETH/USDT,1819.30,1821.19,1818.87,1818.95,270.955,493157.01224,580
1613259960000,2021-02-13 23:46:00,ETH/USDT,1819.51,1819.98,1818.87,1819.31,343.210,624451.60250,552
1613259900000,2021-02-13 23:45:00,ETH/USDT,1820.35,1821.65,1819.27,1819.51,413.662,752895.75366,656
1613259840000,2021-02-13 23:44:00,ETH/USDT,1818.00,1820.56,1817.84,1820.35,313.601,570598.24158,569
1613259780000,2021-02-13 23:43:00,ETH/USDT,1820.03,1820.03,1818.00,1818.00,562.536,1023189.39304,588
1613259720000,2021-02-13 23:42:00,ETH/USDT,1818.92,1820.79,1818.76,1820.02,550.280,1001407.53533,685
1613259660000,2021-02-13 23:41:00,ETH/USDT,1820.92,1821.56,1818.18,1818.93,905.406,1647271.58645,848
1613259600000,2021-02-13 23:40:00,ETH/USDT,1820.54,1823.18,1820.54,1820.93,1255.794,2287834.33673,922
1613259540000,2021-02-13 23:39:00,ETH/USDT,1819.68,1821.31,1819.68,1820.54,419.980,764638.22148,630
1613259480000,2021-02-13 23:38:00,ETH/USDT,1820.21,1821.29,1818.76,1819.68,449.989,819022.50116,558
1613259420000,2021-02-13 23:37:00,ETH/USDT,1820.37,1821.56,1820.01,1820.20,855.163,1557077.29856,789
1613259360000,2021-02-13 23:36:00,ETH/USDT,1821.30,1821.80,1820.01,1820.36,443.609,807749.65195,534
1613259300000,2021-02-13 23:35:00,ETH/USDT,1820.74,1822.26,1820.25,1821.30,916.935,1670176.49650,752
1613259240000,2021-02-13 23:34:00,ETH/USDT,1818.31,1821.29,1818.31,1820.85,1134.246,2064827.64317,915
